Phone Number
Time,duration,isCorrect
0h40m53s798ms,0.0,0.0
10h40m53s837ms,0.0,0.0
10h40m53s912ms,0.0,0.0
10h40m53s976ms,0.0,0.0
10h40m54s20ms,0.0,0.0
10h40m54s94ms,0.0,0.0
10h40m54s133ms,0.0,0.0
10h40m54s186ms,0.0,0.0
10h40m54s250ms,0.0,0.0
10h40m54s323ms,0.0,0.0
10h40m54s348ms,0.0,0.0
10h40m54s387ms,0.0,0.0
10h40m54s416ms,0.0,0.0
10h40m54s456ms,0.0,0.0
10h40m54s493ms,0.0,0.0
10h40m54s510ms,0.0,0.0
10h40m54s526ms,0.0,0.0
10h40m54s546ms,0.0,0.0
10h40m54s564ms,0.0,0.0
10h40m54s581ms,0.0,0.0
10h40m54s596ms,0.0,0.0
10h40m54s615ms,0.0,0.0
10h40m54s632ms,0.0,0.0
10h40m54s666ms,0.0,0.0
10h40m54s700ms,0.0,0.0
10h40m54s741ms,0.0,0.0
10h40m54s779ms,0.0,0.0
10h40m54s812ms,0.0,0.0
10h40m54s850ms,0.0,0.0
10h40m54s893ms,462.58066,1248.4193
10h40m54s925ms,465.0,1243.1627
10h40m54s963ms,468.6827,1238.3173
10h40m55s0ms,472.64035,1233.3596
10h40m55s42ms,479.63324,1220.7335
10h40m55s76ms,483.62164,1211.1351
10h40m55s112ms,486.0,1204.0
10h40m55s149ms,486.0,1204.0
10h40m55s190ms,486.0,1204.0
10h40m55s227ms,486.0,1204.0
10h40m55s267ms,486.0,1204.0
10h40m55s299ms,486.0,1204.0
10h40m55s342ms,486.0,1204.0
10h40m55s375ms,486.0,1204.0
10h40m55s414ms,486.0,1204.0
10h40m55s452ms,486.0,1204.0
10h40m55s492ms,486.0,1204.0
10h40m55s525ms,486.0,1204.0
10h40m55s563ms,486.0,1204.0
10h40m55s608ms,486.0,1204.0
10h40m55s643ms,486.0,1204.0
10h40m55s677ms,486.0,1204.0
10h40m55s717ms,486.0,1204.0
10h40m55s755ms,486.0,1204.0
10h40m55s795ms,486.0,1204.0
10h40m55s831ms,486.0,1204.0
10h40m55s865ms,486.0,1204.0
10h40m55s908ms,936.29443,695.58887
10h40m55s942ms,932.32446,690.32446
10h40m55s981ms,930.32794,688.32794
10h40m56s17ms,927.5,685.5
10h40m56s54ms,923.0,686.0
10h40m56s100ms,923.0,686.0
10h40m56s129ms,923.0,686.0
10h40m56s171ms,923.0,686.0
10h40m56s203ms,923.0,686.0
10h40m56s243ms,923.0,686.0
10h40m56s282ms,923.0,686.0
10h40m56s318ms,923.0,686.0
10h40m56s356ms,923.0,686.0
10h40m56s396ms,923.0,686.0
10h40m56s433ms,923.0,686.0
10h40m56s470ms,923.0,686.0
10h40m56s510ms,923.0,686.0
10h40m56s548ms,923.0,686.0
10h40m56s584ms,923.0,686.0
10h40m56s620ms,923.0,686.0
10h40m56s659ms,923.0,686.0
10h40m56s701ms,923.0,686.0
10h40m56s733ms,923.0,686.0
10h40m56s768ms,923.0,686.0
10h40m56s810ms,923.0,686.0
10h40m56s848ms,923.0,686.0
10h40m56s884ms,923.0,686.0
10h40m56s918ms,923.0,686.0
10h40m56s969ms,923.0,686.0
10h40m56s998ms,923.0,686.0
10h40m57s35ms,923.0,686.0
10h40m57s70ms,923.0,686.0
10h40m57s110ms,923.0,686.0
10h40m57s150ms,923.0,686.0
10h40m57s183ms,923.0,686.0
10h40m57s220ms,923.0,686.0
10h40m57s263ms,923.0,686.0
10h40m57s299ms,923.0,686.0
10h40m57s343ms,923.0,686.0
10h40m57s375ms,923.0,686.0
10h40m57s412ms,923.0,686.0
10h40m57s449ms,923.0,686.0
10h40m57s496ms,923.0,686.0
10h40m57s524ms,923.0,686.0
10h40m57s562ms,923.0,686.0
10h40m57s598ms,923.0,686.0
10h40m57s640ms,923.0,686.0
10h40m57s676ms,923.0,686.0
10h40m57s715ms,923.0,686.0
10h40m57s747ms,923.0,686.0
10h40m57s789ms,923.0,686.0
10h40m57s823ms,923.0,686.0
10h40m57s865ms,923.0,686.0
10h40m57s898ms,923.0,686.0
10h40m57s939ms,923.0,686.0
10h40m57s974ms,923.0,686.0
10h40m58s12ms,923.0,686.0
10h40m58s53ms,923.0,686.0
10h40m58s89ms,923.0,686.0
10h40m58s124ms,923.0,686.0
10h40m58s164ms,923.0,686.0
10h40m58s202ms,541.0,1183.0793
10h40m58s240ms,540.0,1187.5565
10h40m58s277ms,540.0,1189.5
10h40m58s315ms,540.0,1191.5
10h40m58s355ms,540.0,1190.0
10h40m58s389ms,540.0,1190.0
10h40m58s426ms,540.0,1190.0
10h40m58s466ms,540.0,1190.0
10h40m58s501ms,540.0,1190.0
10h40m58s542ms,540.0,1190.0
10h40m58s576ms,540.0,1190.0
10h40m58s617ms,540.0,1190.0
10h40m58s651ms,540.0,1190.0
10h40m58s688ms,540.0,1190.0
10h40m58s729ms,540.0,1190.0
10h40m58s769ms,540.0,1190.0
10h40m58s804ms,540.0,1190.0
10h40m58s838ms,540.0,1190.0
10h40m58s880ms,540.0,1190.0
10h40m58s917ms,540.0,1190.0
10h40m58s954ms,540.0,1190.0
10h40m58s997ms,540.0,1190.0
10h40m59s28ms,540.0,1190.0
10h40m59s66ms,540.0,1190.0
10h40m59s110ms,879.76996,675.0
10h40m59s146ms,883.5,675.0
